Common Name,Species,Year,Region,Latitude,Longitude,Depth
American lobster,Homarus americanus,1971,Gulf of St. Lawrence South,45.8967312312312,-62.476134009009,
Red hake,Urophycis chuss,1970,Maritimes Summer,43.5962348976159,-60.2366909767336,100.704433328316
Black sea bass,Centropristis striata,1974,Northeast US Fall,37.5311296381581,-74.4084853012876,35.7722889783641
Rainbow star,Orthasterias koehleri,1993,Gulf of Alaska,56.233684711313,-157.447258198744,100.120206736431
Banded drum,Larimus fasciatus,1982,Gulf of Mexico,28.7390621664326,-90.4261838788517,47.690986951283
Guachanche barracuda,Sphyraena guachancho,1984,Gulf of Mexico,28.6819801660517,-91.4300155289053,48.989907896679
American lobster,Homarus americanus,1972,Gulf of St. Lawrence South,46.8950897435897,-64.4685392628205,
American lobster,Homarus americanus,1973,Gulf of St. Lawrence South,45.8967312312312,-62.476134009009,
American lobster,Homarus americanus,1974,Gulf of St. Lawrence South,45.8967312312312,-62.476134009009,
American lobster,Homarus americanus,1975,Gulf of St. Lawrence South,46.5553769063181,-61.602654003268,
American lobster,Homarus americanus,1976,Gulf of St. Lawrence South,45.8967312312312,-62.476134009009,
American lobster,Homarus americanus,1977,Gulf of St. Lawrence South,45.8967312312312,-62.476134009009,
American lobster,Homarus americanus,1978,Gulf of St. Lawrence South,45.8967312312312,-62.476134009009,
American lobster,Homarus americanus,1979,Gulf of St. Lawrence South,45.8967312312312,-62.476134009009,
American lobster,Homarus americanus,1980,Gulf of St. Lawrence South,46.3512838273137,-62.4906461276366,
American lobster,Homarus americanus,1981,Gulf of St. Lawrence South,46.1631774161797,-62.4689882262775,
American lobster,Homarus americanus,1982,Gulf of St. Lawrence South,46.3517082960751,-63.0275002493752,
American lobster,Homarus americanus,1983,Gulf of St. Lawrence South,45.8967312312312,-62.476134009009,
American lobster,Homarus americanus,1984,Gulf of St. Lawrence South,46.6354549022387,-63.4156234628254,
American lobster,Homarus americanus,1985,Gulf of St. Lawrence South,46.4724126418839,-62.678606923216,
American lobster,Homarus americanus,1986,Gulf of St. Lawrence South,46.5284198287751,-62.8011183075257,
American lobster,Homarus americanus,1987,Gulf of St. Lawrence South,46.597775313295,-62.6792950505841,
American lobster,Homarus americanus,1988,Gulf of St. Lawrence South,46.6367556254818,-63.1137625166636,
American lobster,Homarus americanus,1989,Gulf of St. Lawrence South,46.5408858211409,-62.4453020192229,
American lobster,Homarus americanus,1990,Gulf of St. Lawrence South,46.6265583500554,-62.6024626312001,
American lobster,Homarus americanus,1991,Gulf of St. Lawrence South,47.1913735074644,-64.0091121519393,
American lobster,Homarus americanus,1992,Gulf of St. Lawrence South,46.7597529826993,-63.4522320691883,
American lobster,Homarus americanus,1993,Gulf of St. Lawrence South,46.4634757703703,-63.1552957813186,
American lobster,Homarus americanus,1994,Gulf of St. Lawrence South,46.6954497566039,-63.4675279140856,
American lobster,Homarus americanus,1995,Gulf of St. Lawrence South,46.5639592729053,-62.843960084644,
American lobster,Homarus americanus,1996,Gulf of St. Lawrence South,46.7083427061699,-62.9026257430153,
American lobster,Homarus americanus,1997,Gulf of St. Lawrence South,46.6144455765876,-63.0399860507264,
American lobster,Homarus americanus,1998,Gulf of St. Lawrence South,46.5333681967146,-62.7017117254492,
American lobster,Homarus americanus,1999,Gulf of St. Lawrence South,46.7625705631994,-63.3319899939032,
American lobster,Homarus americanus,2000,Gulf of St. Lawrence South,46.7856178397068,-63.0625391657034,
American lobster,Homarus americanus,2001,Gulf of St. Lawrence South,46.6858794747619,-62.8769493705723,
American lobster,Homarus americanus,2002,Gulf of St. Lawrence South,46.6869597772046,-62.6977636941094,
American lobster,Homarus americanus,2004,Gulf of St. Lawrence South,46.906596943466,-63.1531902285045,
American lobster,Homarus americanus,2005,Gulf of St. Lawrence South,46.5690196540098,-62.7931132837323,
American lobster,Homarus americanus,2006,Gulf of St. Lawrence South,46.849898001858,-63.2858530816688,
American lobster,Homarus americanus,2007,Gulf of St. Lawrence South,46.7458720580099,-63.1049444129397,
American lobster,Homarus americanus,2008,Gulf of St. Lawrence South,46.7331185503498,-63.2532286220265,
American lobster,Homarus americanus,2009,Gulf of St. Lawrence South,46.8504502489903,-63.3945338770859,
American lobster,Homarus americanus,2010,Gulf of St. Lawrence South,46.8811474938647,-62.9857352621596,
American lobster,Homarus americanus,2011,Gulf of St. Lawrence South,46.7922145801173,-63.1534526979666,
American lobster,Homarus americanus,2012,Gulf of St. Lawrence South,47.227151561544,-62.542389390436,
American lobster,Homarus americanus,2013,Gulf of St. Lawrence South,46.7042930409122,-62.9332557258273,
American lobster,Homarus americanus,2014,Gulf of St. Lawrence South,47.0097530721826,-63.7278868507084,
American lobster,Homarus americanus,2015,Gulf of St. Lawrence South,47.1927930892005,-63.7634741812157,
American lobster,Homarus americanus,2016,Gulf of St. Lawrence South,47.1043984588503,-63.8136847961513,
American lobster,Homarus americanus,2017,Gulf of St. Lawrence South,47.1714623976572,-63.1888022901584,
American lobster,Homarus americanus,2018,Gulf of St. Lawrence South,47.2114691597512,-63.3290208437243,
American lobster,Homarus americanus,2019,Gulf of St. Lawrence South,46.9098090137088,-63.3247004034151,
American lobster,Homarus americanus,1970,Maritimes Summer,,,
American lobster,Homarus americanus,2003,Maritimes Summer,43.5284132081706,-65.8210692922609,131.715556313647
American lobster,Homarus americanus,2020,Maritimes Summer,43.517597331803,-65.2195946639412,107.856070771124
Red hake,Urophycis chuss,1971,Maritimes Summer,43.5447761717257,-60.3411504139059,113.769451036651
Red hake,Urophycis chuss,1972,Maritimes Summer,,,
Red hake,Urophycis chuss,1973,Maritimes Summer,42.7703896663187,-65.4106544450783,129.22566848278
Red hake,Urophycis chuss,1974,Maritimes Summer,44.0749245283019,-62.0179017169811,137.914811320755
Red hake,Urophycis chuss,1975,Maritimes Summer,,,
Red hake,Urophycis chuss,1977,Maritimes Summer,42.8290504278079,-63.0832783308825,255.057834620091
Red hake,Urophycis chuss,1978,Maritimes Summer,44.9119917061069,-60.735093519084,139.041259541985
Red hake,Urophycis chuss,1979,Maritimes Summer,43.9861267247241,-61.8646115504751,104.546709217803
Red hake,Urophycis chuss,1980,Maritimes Summer,44.0575454754394,-62.2501851065645,119.680460947752
Red hake,Urophycis chuss,1981,Maritimes Summer,44.0925635556002,-62.5440787863224,142.52347480999
Red hake,Urophycis chuss,1982,Maritimes Summer,43.5796486989055,-63.5115743404808,149.011389911978
Red hake,Urophycis chuss,1983,Maritimes Summer,44.2894308270425,-62.5096395208449,148.641900582661
Red hake,Urophycis chuss,1984,Maritimes Summer,43.2098746890501,-64.6069830294914,134.189701442589
Red hake,Urophycis chuss,1985,Maritimes Summer,44.0313548804432,-62.4316530893269,138.430487008293
Red hake,Urophycis chuss,1986,Maritimes Summer,43.6834031987601,-62.8854009549921,125.736656433113
Red hake,Urophycis chuss,1987,Maritimes Summer,44.1818459226361,-62.786809743914,181.408674546085
Red hake,Urophycis chuss,1988,Maritimes Summer,43.6216704002805,-63.4979716840944,141.420584731075
Red hake,Urophycis chuss,1989,Maritimes Summer,43.4819195941149,-63.4719533513448,138.911241185607
Red hake,Urophycis chuss,1990,Maritimes Summer,43.5063581936415,-63.0888174993092,122.876365611903
Red hake,Urophycis chuss,1991,Maritimes Summer,43.7009165162629,-64.5510590736773,131.851178060191
Red hake,Urophycis chuss,1992,Maritimes Summer,43.4022568693683,-64.5650336744114,162.084127273379
Red hake,Urophycis chuss,1993,Maritimes Summer,43.5616712751488,-64.3113894051668,127.303098560237
Red hake,Urophycis chuss,1994,Maritimes Summer,43.4848122386367,-64.0700371022752,133.050898571006
Red hake,Urophycis chuss,1995,Maritimes Summer,43.6207415915721,-64.3315165763708,141.825151022822
Red hake,Urophycis chuss,1996,Maritimes Summer,43.5190283136256,-64.9716330247607,151.048027867244
Red hake,Urophycis chuss,1997,Maritimes Summer,43.4527964185822,-63.3870071204408,152.681936268086
Red hake,Urophycis chuss,1998,Maritimes Summer,43.7826048505393,-62.6638735345684,173.994065591466
Red hake,Urophycis chuss,1999,Maritimes Summer,43.5594453917076,-63.3713055157609,144.658020677371
Red hake,Urophycis chuss,2000,Maritimes Summer,43.3784995750173,-65.0035435420873,146.668770990305
Red hake,Urophycis chuss,2001,Maritimes Summer,43.2620963409707,-64.6915958611172,144.364204016587
Red hake,Urophycis chuss,2002,Maritimes Summer,43.4222482060162,-64.8641544668942,151.04339054837
Red hake,Urophycis chuss,2003,Maritimes Summer,43.349930037012,-64.5035340142215,143.249896729773
Red hake,Urophycis chuss,2004,Maritimes Summer,44.0227653767526,-63.3120511657524,137.785918267204
Red hake,Urophycis chuss,2005,Maritimes Summer,43.5707758003649,-63.67036650503,147.215348111271
Red hake,Urophycis chuss,2006,Maritimes Summer,43.4552984748209,-64.1972827992182,140.706696703731
Red hake,Urophycis chuss,2007,Maritimes Summer,43.5235534860973,-64.1903205656068,148.523648415475
Red hake,Urophycis chuss,2008,Maritimes Summer,43.413505407707,-64.3152380118375,162.569770881691
Red hake,Urophycis chuss,2009,Maritimes Summer,43.7317189294577,-63.5054567907166,158.072707752387
Red hake,Urophycis chuss,2010,Maritimes Summer,43.6504574939937,-64.2382752126777,140.367080411843
Red hake,Urophycis chuss,2011,Maritimes Summer,43.6086377339701,-62.9547243985826,131.960483762703
Red hake,Urophycis chuss,2012,Maritimes Summer,43.3554949695103,-63.8995395882674,129.427601874163
Red hake,Urophycis chuss,2013,Maritimes Summer,43.4256821942544,-63.1446799412935,147.833446731305
Red hake,Urophycis chuss,2014,Maritimes Summer,43.4835232730489,-64.1617334804913,132.299266783497
Red hake,Urophycis chuss,2015,Maritimes Summer,43.5746244024948,-63.6010592129814,137.913165165471
Red hake,Urophycis chuss,2016,Maritimes Summer,43.4561600193091,-63.5457192597528,128.059343890892
Red hake,Urophycis chuss,2017,Maritimes Summer,43.5940720042137,-63.7819150099737,143.199731140816
Red hake,Urophycis chuss,2019,Maritimes Summer,43.968673731285,-63.0343600684404,139.125218454238
Red hake,Urophycis chuss,2020,Maritimes Summer,43.4030450967889,-64.2833075219855,131.423248364425
Red hake,Urophycis chuss,1976,Northeast US Fall,41.0939663449191,-69.3012993443997,89.5468964556243
Red hake,Urophycis chuss,2018,Northeast US Fall,42.0774118571683,-69.10022391249,134.161259883133
Black sea bass,Centropristis striata,1975,Northeast US Fall,37.8992575667253,-74.2978597940785,58.1588348665628
Black sea bass,Centropristis striata,1976,Northeast US Fall,39.5494254278504,-71.8515576578357,55.6967183542016
Black sea bass,Centropristis striata,1977,Northeast US Fall,39.1952422902925,-73.4143699400525,37.7069710315774
Black sea bass,Centropristis striata,1978,Northeast US Fall,39.8008093405987,-72.4928822408004,39.4805994587843
Black sea bass,Centropristis striata,1979,Northeast US Fall,39.3039924317349,-72.5177378859628,37.2887863948366
Black sea bass,Centropristis striata,1980,Northeast US Fall,37.9827441186171,-74.812200760335,29.1786901659654
Black sea bass,Centropristis striata,1981,Northeast US Fall,38.6587563350125,-73.6094163714903,36.4264039089958
Black sea bass,Centropristis striata,1982,Northeast US Fall,38.9221605856997,-73.8100276899351,36.1853971528897
Black sea bass,Centropristis striata,1983,Northeast US Fall,38.1113669508979,-74.595173994238,36.6682944504814
Black sea bass,Centropristis striata,1984,Northeast US Fall,37.2512649313175,-75.0703722375193,33.4410440752091
Black sea bass,Centropristis striata,1985,Northeast US Fall,39.0602171988182,-73.232711371841,39.7072640141217
Black sea bass,Centropristis striata,1986,Northeast US Fall,38.0713196134225,-74.3122844828328,41.9167276873561
Black sea bass,Centropristis striata,1987,Northeast US Fall,38.2778906449983,-74.3853461239918,33.4401176868892
Black sea bass,Centropristis striata,1988,Northeast US Fall,37.0263990861316,-75.1613816826933,34.5994890429225
Black sea bass,Centropristis striata,1989,Northeast US Fall,37.9659368880637,-74.7851426790994,31.1091193291096
Black sea bass,Centropristis striata,1990,Northeast US Fall,37.7666757820071,-74.6395795355274,34.9473831790341
Black sea bass,Centropristis striata,1991,Northeast US Fall,37.1772459832487,-75.158878903886,30.4063413055953
Black sea bass,Centropristis striata,1992,Northeast US Fall,37.9355123750484,-74.7209783985851,34.8885158414891
Black sea bass,Centropristis striata,1993,Northeast US Fall,37.2414304478967,-75.1782709674905,30.5466467489988
Black sea bass,Centropristis striata,1994,Northeast US Fall,36.8775790408636,-75.0694637297697,33.2973279703577
Black sea bass,Centropristis striata,1995,Northeast US Fall,38.4384416684837,-74.1423324500172,39.1441113574046
Black sea bass,Centropristis striata,1996,Northeast US Fall,37.5563050770539,-74.8689161627855,32.9266459258571
Black sea bass,Centropristis striata,1997,Northeast US Fall,37.3051249238407,-75.0363324186433,32.9679632319026
Black sea bass,Centropristis striata,1998,Northeast US Fall,37.1101598388709,-75.155217220024,32.4347184763021
Black sea bass,Centropristis striata,1999,Northeast US Fall,38.7806199011847,-74.0574643040474,37.5976451065985
Black sea bass,Centropristis striata,2000,Northeast US Fall,37.774732642039,-74.6737686804927,33.8274701996665
Black sea bass,Centropristis striata,2001,Northeast US Fall,39.9643435018171,-72.8628704520559,38.2236971360432
Black sea bass,Centropristis striata,2002,Northeast US Fall,37.462181246172,-74.8053892424367,35.3566457502963
Black sea bass,Centropristis striata,2003,Northeast US Fall,38.5389466261731,-74.0712713005305,37.0084648635887
Black sea bass,Centropristis striata,2004,Northeast US Fall,39.2352946186476,-73.6826186102148,35.9815571073538
Black sea bass,Centropristis striata,2005,Northeast US Fall,40.7892524980959,-70.7567023843228,42.4716553384776
Black sea bass,Centropristis striata,2006,Northeast US Fall,39.6795247189208,-73.1214534297132,35.4079836066325
Black sea bass,Centropristis striata,2007,Northeast US Fall,38.6776391016114,-74.001698484305,36.8741530132702
Black sea bass,Centropristis striata,2008,Northeast US Fall,38.4415195824739,-74.641618980254,26.6981352715968
Black sea bass,Centropristis striata,2009,Northeast US Fall,38.6454622608102,-74.0786733176226,37.8019299778624
Black sea bass,Centropristis striata,2010,Northeast US Fall,39.4682229422886,-73.3208197865393,38.1318839431943
Black sea bass,Centropristis striata,2011,Northeast US Fall,39.1644076356246,-73.4914994755922,43.6178330063342
Black sea bass,Centropristis striata,2012,Northeast US Fall,38.7517133120533,-73.9518786388738,37.2064908315597
Black sea bass,Centropristis striata,2013,Northeast US Fall,40.6712703917676,-71.3827339187574,40.8876938118415
Black sea bass,Centropristis striata,2014,Northeast US Fall,40.1270808289633,-72.4737750758201,39.3856996910935
Black sea bass,Centropristis striata,2015,Northeast US Fall,39.5028261440495,-72.9260968833149,38.7857257987409
Black sea bass,Centropristis striata,2016,Northeast US Fall,40.0550710170109,-72.0983527767761,41.7367235509222
Black sea bass,Centropristis striata,2018,Northeast US Fall,40.2146731377478,-72.5629177041246,46.0673493218728
Black sea bass,Centropristis striata,2019,Northeast US Fall,39.3354399294142,-73.3060299602733,37.3054487189291
Black sea bass,Centropristis striata,2017,Northeast US Spring,39.4392782916024,-72.2523074374674,141.511161049285
Rainbow star,Orthasterias koehleri,1996,Gulf of Alaska,55.9863042543463,-156.885667735226,87.8668892263142
Rainbow star,Orthasterias koehleri,1999,Gulf of Alaska,56.411719533522,-155.540013047901,84.9198979921405
Rainbow star,Orthasterias koehleri,2003,Gulf of Alaska,56.7329387099054,-154.714199689835,107.238131771243
Rainbow star,Orthasterias koehleri,2005,Gulf of Alaska,56.5894710372004,-154.584041785196,76.0961602868874
Rainbow star,Orthasterias koehleri,2007,Gulf of Alaska,56.8603083693092,-154.197673672939,82.9983524398618
Rainbow star,Orthasterias koehleri,2009,Gulf of Alaska,57.0811074368542,-153.64808317908,88.7650250767077
Rainbow star,Orthasterias koehleri,2011,Gulf of Alaska,56.7294050761347,-154.828254345441,103.501145264479
Rainbow star,Orthasterias koehleri,2013,Gulf of Alaska,56.5116804482144,-154.471073485565,99.8076777882409
Rainbow star,Orthasterias koehleri,2015,Gulf of Alaska,57.496172010903,-155.113076937147,74.9219344555844
Rainbow star,Orthasterias koehleri,2017,Gulf of Alaska,56.1016205632585,-157.461463222901,92.0590770473451
Rainbow star,Orthasterias koehleri,2019,Gulf of Alaska,55.3046940846504,-159.980676766551,87.9712019477217
Rainbow star,Orthasterias koehleri,2004,West Coast Annual,43.0288647364662,-124.078325540453,131.109785205665
Rainbow star,Orthasterias koehleri,2006,West Coast Annual,43.6075659510023,-124.536432818338,164.288800969499
Rainbow star,Orthasterias koehleri,2008,West Coast Annual,33.6599853800658,-118.657626096382,77.5151315789474
Rainbow star,Orthasterias koehleri,2010,West Coast Annual,47.1886644370948,-125.077376879761,221.773616971132
Rainbow star,Orthasterias koehleri,2012,West Coast Annual,35.7358845311064,-120.543127577325,195.33107772146
Rainbow star,Orthasterias koehleri,2016,West Coast Annual,34.2415920914498,-119.331646766156,118.218386369177
Rainbow star,Orthasterias koehleri,2018,West Coast Annual,47.5766146869838,-124.931388701669,138.178707969841
Banded drum,Larimus fasciatus,1983,Gulf of Mexico,28.5308980797702,-94.5507885511522,52.0439815229985
Banded drum,Larimus fasciatus,1984,Gulf of Mexico,28.3607474391782,-94.2174356340679,70.1008437572601
Banded drum,Larimus fasciatus,1985,Gulf of Mexico,27.1459418131725,-96.3440120712748,39.8135932015608
Banded drum,Larimus fasciatus,1986,Gulf of Mexico,28.6070577922815,-94.6797530715312,47.3813280102267
